Date,Mkt-RF,SMB,HML,RMW,CMA,RF
1990-01-02,0.0144,-0.0068000000000000005,-0.0006,0.0019,-0.0044,0.0003
1990-01-03,-0.0006,0.0070999999999999995,-0.0026,0.0016,-0.0045000000000000005,0.0003
1990-01-04,-0.0070999999999999995,0.0044,-0.0024,-0.0005,-0.0004,0.0003
1990-01-05,-0.0085,0.0073,-0.0021,0.0001,-0.0012,0.0003
1990-01-08,0.003,-0.004,-0.0027,0.0004,0.003,0.0003
1990-01-09,-0.0101,0.0087,0.0008,-0.0012,0.0017000000000000001,0.0003
1990-01-10,-0.0076,-0.0004,0.003,-0.0023,0.0038,0.0003
1990-01-11,0.0023,-0.0019,0.0009,0.0003,0.0022,0.0003
1990-01-12,-0.0233,0.0025,0.0040999999999999995,-0.0036,0.0025,0.0003
1990-01-15,-0.0095,0.0004,0.005,-0.003,0.002,0.0003
1990-01-16,0.0092,-0.006999999999999999,-0.0042,0.004699999999999999,-0.0034999999999999996,0.0003
1990-01-17,-0.0076,0.009399999999999999,-0.0022,-0.0007000000000000001,0.0003,0.0003
1990-01-18,0.0005,-0.006,-0.0003,0.0008,0.0016,0.0003
1990-01-19,0.0031,0.001,-0.0003,-0.005600000000000001,0.0009,0.0003
1990-01-22,-0.0231,0.0078000000000000005,0.0048,-0.0019,0.0016,0.0003
1990-01-23,-0.0006,-0.0044,0.0004,0.0007000000000000001,0.0033,0.0003
1990-01-24,-0.0044,-0.0108,-0.0045000000000000005,0.0022,-0.001,0.0003
1990-01-25,-0.010700000000000001,0.01,0.0034999999999999996,-0.0038,0.0028000000000000004,0.0003
1990-01-26,-0.0036,-0.0054,0.0040999999999999995,0.0,0.0002,0.0003
1990-01-29,-0.0034000000000000002,-0.0070999999999999995,0.0004,0.0013,0.0033,0.0003
1990-01-30,-0.009000000000000001,-0.0069,0.005699999999999999,-0.0029,0.0014000000000000002,0.0003
1990-01-31,0.0167,-0.012199999999999999,-0.0016,-0.0007000000000000001,-0.0004,0.0003
1990-02-01,0.0008,0.005600000000000001,0.0001,-0.0025,0.0001,0.0003
1990-02-02,0.0073,0.0027,-0.0053,-0.0015,0.0009,0.0003
1990-02-05,0.0038,0.0022,-0.0029,0.0,-0.0024,0.0003
1990-02-06,-0.0054,0.005600000000000001,0.0015,-0.0017000000000000001,-0.0006,0.0003
1990-02-07,0.010700000000000001,-0.0039000000000000003,-0.003,-0.0003,-0.0022,0.0003
1990-02-08,-0.0009,0.0031,-0.0012,0.0011,0.001,0.0003
1990-02-09,0.0024,0.0002,0.0008,-0.0005,-0.0022,0.0003
1990-02-12,-0.009300000000000001,0.0053,0.0019,0.0,0.0014000000000000002,0.0003
1990-02-13,0.0014000000000000002,-0.0048,0.0013,0.0008,0.0011,0.0003
1990-02-14,0.002,-0.001,0.0013,0.0003,0.0013,0.0003
1990-02-15,0.0078000000000000005,-0.0034000000000000002,0.0003,0.0034000000000000002,0.0003,0.0003
1990-02-16,-0.005,0.0054,0.0018,-0.0019,0.001,0.0003
1990-02-20,-0.013500000000000002,0.0048,0.0033,-0.0015,0.0006,0.0003
1990-02-21,-0.0021,-0.0042,0.0043,-0.0003,0.0016,0.0003
1990-02-22,-0.0037,0.0083,0.0003,0.0013,-0.0038,0.0003
1990-02-23,-0.0055000000000000005,-0.0019,0.0049,0.0017000000000000001,0.0,0.0003
1990-02-26,0.01,-0.0126,-0.001,0.0032,-0.0004,0.0003
1990-02-27,0.0053,-0.0016,-0.0008,-0.0002,-0.0008,0.0003
