Date,Mkt_Ret_60d,Mkt_Vol_20d
1993-04-27,0.0032937625993578745,0.007498181359725177
1993-04-28,-0.0059199824623205055,0.007436502670504427
1993-04-29,-0.0037735275384170874,0.007550354176944094
1993-04-30,-0.012793435877180404,0.007557107412770861
1993-05-03,-0.010627785289851421,0.006134554849755138
1993-05-04,-0.006448446065183244,0.006084980888459826
1993-05-05,-0.0036562719940405053,0.006068428077727194
1993-05-06,-0.00019849221781220727,0.006085673515499058
1993-05-07,-0.0037023027316455126,0.006096959354253238
1993-05-10,-0.006456087282305845,0.0051628731331557765
1993-05-11,0.005427503397277045,0.005240784449075275
1993-05-12,0.030003455574788562,0.005240898921158127
1993-05-13,0.018456088337219345,0.005836415425692053
1993-05-14,0.018466919240450075,0.005832159826680617
1993-05-17,0.01841718911197532,0.005869204858435632
1993-05-18,0.01405892568052658,0.0057842249762645815
1993-05-19,0.03562667279462528,0.007445447395517115
1993-05-20,0.02530002455493885,0.00676760458870843
1993-05-21,0.013926883859736394,0.007052376676968898
1993-05-24,0.01674308642939315,0.0067501574809381215
1993-05-25,0.021740413509033996,0.006408304933616647
1993-05-26,0.019395649116760616,0.006814788547355347
1993-05-27,0.01168163439916503,0.0068995102936736516
1993-05-28,0.012419166295216666,0.0070504333482679545
1993-06-01,0.025070728891919858,0.007210492026518564
1993-06-02,0.0012921498721565339,0.0072218514859519025
1993-06-03,0.00127982042631003,0.007286431470116753
1993-06-04,-0.004211054874088682,0.007284354068123601
1993-06-07,-0.00492627245915056,0.007320271994885293
1993-06-08,-0.003632185589366177,0.007638228344415973
1993-06-09,-0.004978021267063926,0.007620552746136388
1993-06-10,-0.004284891620005338,0.007610241612274286
1993-06-11,0.006116753560454713,0.007069212233603141
1993-06-14,-0.001513288557997372,0.007080514944016926
1993-06-15,-0.002082311197328157,0.007093386714160086
1993-06-16,0.005582676974171807,0.007087549181405779
1993-06-17,0.0069641330204153196,0.0054560391483210345
1993-06-18,-0.0013292472424406565,0.005729839251062073
1993-06-21,-0.005457985724459213,0.005376280049369583
1993-06-22,0.0007795539562975851,0.005295709021759584
1993-06-23,-0.012454046151474829,0.00564520238589256
1993-06-24,-0.001960375352946353,0.00576166605640914
1993-06-25,-0.001966984329457966,0.005720746046371332
1993-06-28,0.012678243263491762,0.006164390821379309
1993-06-29,0.029213227650220608,0.005866805870941895
1993-06-30,0.02413296659241615,0.005861475919730507
1993-07-01,0.02418027620117824,0.005844452105539724
1993-07-02,0.014894194189565058,0.005925450345718961
1993-07-06,0.005665839925646843,0.006318995348311988
1993-07-07,-0.005527829823386621,0.0060429073927876645
1993-07-08,0.003589763744487273,0.0065151490177125316
1993-07-09,0.007787901635581074,0.006537945370270071
1993-07-12,0.007087142860533691,0.0064820911074801365
1993-07-13,0.006387302912551629,0.006475037904283494
1993-07-14,0.014120730791203462,0.006489734020431478
1993-07-15,0.014861228493194156,0.006559932934629332
1993-07-16,0.012745174678706839,0.00654492956288883
1993-07-19,0.024994392891062978,0.0062635275031089335
1993-07-20,0.03226367129943153,0.006276046430159163
1993-07-21,0.03971502720668307,0.006279102499036063
1993-07-22,0.02143249426589633,0.006128802696724681
1993-07-23,0.028652413287735934,0.005427181200706266
1993-07-26,0.029991813648879928,0.005570417224462663
1993-07-27,0.027814798899314264,0.004939907799788174
1993-07-28,0.019160874770731917,0.0048466833204516445
1993-07-29,0.021241025835457616,0.005018040425550977
1993-07-30,0.012732880794893653,0.005136817284943155
1993-08-02,0.01912694246818325,0.005006454814455587
1993-08-03,0.021991031359514412,0.0043111803673289584
1993-08-04,0.01983488889778484,0.004290450674234965
1993-08-05,0.013434482877734855,0.003538562424922374
1993-08-06,0.01626844576290365,0.0034957442246229026
1993-08-09,0.034247604606451265,0.003703306519288671
1993-08-10,0.03426746232894651,0.0037032400567914184
1993-08-11,0.030608096656491224,0.0036279086837287845
1993-08-12,0.028484575747974805,0.0035534576632388973
1993-08-13,0.009182891519701197,0.003489927965662935
1993-08-16,0.011965674939685478,0.003659165861558164
1993-08-17,0.02466947006796283,0.0036812022119062046
1993-08-18,0.02599622101741872,0.0038094476510149777
1993-08-19,0.02385977759797786,0.003321640161048463
1993-08-20,0.01191892540702466,0.003220816811497265
1993-08-23,0.013321017204414476,0.0031259353623476946
1993-08-24,0.029359061582631574,0.0038296748299245496
1993-08-25,0.02018324479882705,0.0037457025871225473
1993-08-26,0.02227274473300178,0.0036270420374799155
1993-08-27,0.0250949456618208,0.0032908299098529516
1993-08-30,0.03280279032607725,0.0033278841190880694
1993-08-31,0.039169970169916635,0.0033288261207458894
1993-09-01,0.04720172470266948,0.0033783508212240714
1993-09-02,0.040048863791108724,0.003463565899612302
1993-09-03,0.0400258124765871,0.0034693530163846537
1993-09-07,0.028723043842527662,0.0037952012064652427
1993-09-08,0.026655906174046562,0.003902548074926457
1993-09-09,0.030898699392632345,0.003907316055309012
1993-09-10,0.03783789896542333,0.004185507905552864
1993-09-13,0.034945419839830016,0.0041893698569779834
1993-09-14,0.039325947942329575,0.0042434443659632205
1993-09-15,0.039944217307329666,0.004223863611512916
1993-09-16,0.035014168270714574,0.0042196788145603134
1993-09-17,0.042497548546733155,0.004252719920017032
1993-09-20,0.020264624231517425,0.004659423155816724
1993-09-21,0.01746575598525424,0.004700414276007688
1993-09-22,0.01456413969465431,0.00439833744648817
1993-09-23,0.02507142354028602,0.0045810922115653956
1993-09-24,0.022279762222028987,0.00461557317841661
1993-09-27,0.0363199522409412,0.005241683505685716
1993-09-28,0.04000627851690597,0.005192050906011385
